aan,"to, attached to"
aanbieden,to offer
de aandacht,attention
aankomen,to arrive
het aantal,number of
aantrekkelijk,attractive
de aanval,attack
aanwezig,present
de aarde,soil
absoluut,absolutely
accepteren,to accept
achter,behind
de achtergrond,background
de actie,action
actief,active
de activiteit,activity
het adres,address
het advies,advice
de afdeling,department
afgaan,"to go down, descend"
afmaken,to finish up
afrekenen,"to pay, settle the bill"
het afscheid,goodbye
de afspraak,appointment
afspreken,to make an appointment
de afstand,distance
afstuderen,to graduate
afwassen,to do the dishes
de agent,agent
al,already
algemeen,general
alle,all
allebei,both
alleen,only
allemaal,all of them
allen,all
alles,everything
als,"if, when"
alsof,as if
altijd,always
de ambtenaar,civil servant
ander,other
anders,different
de angst,fear
het antwoord,answer
antwoorden,to answer
de arbeid,labor
de arbeider,worker
het argument,argument
de arm,arm
het artikel,article
het aspect,aspect
de auteur,author
automatisch,automatically
de baas,boss
de baby,baby
bang,afraid
de bank,bank
de basis,base
het bed,bed
het bedrijf,company
het beeld,statue
het been,leg
het begin,get started
beginnen,"to start, begin"
het begrip,understanding
behalve,except
de behandeling,therapy
de behoefte,need
beide,both
het belang,interest
het beleid,policy
bellen,to call
beneden,down
bepaald,determined
bereid,prepared
het beroep,profession
de bescherming,protection
de beslissing,decision
het besluit,decision
besluiten,to decide
bespreken,to discuss
het bestuur,board
betalen,to pay
betekenen,to mean
de betekenis,meaning
beter,better
de beurt,turn
bevatten,to contain
bewegen,to move
de beweging,movement
het bewijs,proof
bewust,conscious
bezig,busy
het bezit,possession
het bezoek,visit
beïnvloeden,to influence
het bier,beer
bij,at
de bijdrage,contribution
bijna,almost (nearly)
bijten,to bite
bijvoorbeeld,for example
bijzonder,special
binnen,"within, inside"
binnenkomen,to enter
bitter,bitter
het blad,sheet
blauw,blue
blij,happy
blijkbaar,apparently
blijven,to stay
de blik,look
het bloed,blood
de bloem,flower
de bodem,"bottom, ground"
het boek,book
de boer,farmer
de boodschap,message
de boog,bow
de boom,tree
boos,angry
de boot,boat
het bord,plate
de borst,chest
het bos,forest
boven,upstairs
bovendien,moreover
de brand,fire
breed,wide
brengen,to bring
de brief,letter
de broek,pants
de broer,brother
de bron,source
het brood,bread
de brug,bridge
bruin,brown
de buik,stomach
buiten,outside
buitenlands,foreign
het bureau,desk
de burgemeester,mayor
burgerlijk,civil
de bus,bus
de buurt,neighborhood
het café,cafe
de categorie,category
het centrum,centre
de collega,colleague
de combinatie,combination
de communicatie,communication
de computer,computer
de conclusie,conclusion
de consequentie,consequence
het contact,contact
de crisis,crisis
cultureel,cultural
de cultuur,culture
daar,there
daarna,after that
daarom,therefore
de dag,day
dagelijks,daily
het dak,roof
dan,then
danken,to thank
dansen,to dance
dat,that (het words)
de,the
het deel,part
definitief,final
de deken,blanket
denken,to think
derde,third
het detail,detail
de deur,door
deze,this (de words)
dezelfde,the same
dichtbij,nearby
"dichtbij, ver weg","close by, far away"
dichtdoen,to close
de dienst,shift
diep,deep
het dier,animal
dik,fat
"dik, dun","fat, thin"
het ding,thing
direct,directly
de directeur,director
de discussie,discussion
dit,this (het words)
de dochter,daughter
het doel,target
de doelstelling,"goal, objective"
doen,to do
de dokter,doctor
dom,stupid
donker,dark
"donker, licht","dark, light"
de dood,death
doordat,because
doorgaan,to continue
doorgeven,to pass along
de doos,box
het dorp,village
drie,three
drinken,to drink
dromen,to dream
droog,dry
"droog, nat","dry, wet"
de droom,dream
de druk,pressure
dubbel,double
duidelijk,clearly
dun,thin
duren,to last
dus,so (conclusion)
duur,expensive
dwars,transverse
echter,however
de economie,economy
een,a
een paar,a couple
een poos,a while
eenmaal,once
eenvoudig,simple
de eer,honor
eerder,earlier
eerst,first
de eeuw,century
het effect,effect
eigen,own
de eigenaar,owner
eigenlijk,actually
de eigenschap,charachteristic
het eiland,island
het eind,end
eindelijk,finally
eindeloos,endless
eindigen,to end
de eis,demand
elk,each
de emotie,emotion
emotioneel,emotional
en,and
de energie,energy
Engels,english
enkel,only
enorm,enormous
er,there (exists)
ergens,somewhere
ernstig,serious
de ervaring,experience
eten,to eat
even,for a while
het evenwicht,balance
het experiment,experiment
de fabriek,factory
de factor,factor
de familie,family
de fase,phase
het feest,party
het feit,fact
de fiets,bicycle
de figuur,figure
fijn,nice
de film,movie
financieel,financial
de fles,bottle
flink,hefty
formuleren,to formulate
de foto,photo
de fout,mistake
het fruit,fruit
de functie,function
fundamenteel,fundamentally
gaan,to go
de gang,corridor
de gast,guest
het gat,hole
gauw,soon
het gebied,area
geboren,born
het gebouw,building
gebruik,to use
gebruiken,to use
de gedachte,thought
het gedeelte,part
het gedicht,poem
het gedrag,behaviour
geef,give
geel,yellow
geheel,whole
het geheim,secret
het geheugen,memory
gek,crazy
het geld,money
geleden,ago
de gelegenheid,opportunity
gelijk,equal
het geloof,"faith, belief"
het geluid,sound
het geluk,luck
gelukkig,happy
het gemak,ease
gemakkelijk,easy
gemeen,mean
de generatie,generation
genoeg,enough
de geschiedenis,history
het gesprek,conversation
de geur,smell
het gevaar,danger
gevaarlijk,dangerous
het geval,case
de gevangenis,"jail, prison"
geven,to give
het gevoel,feeling
het gevolg,consequence
het geweld,violence
geweldig,"awesome, great"
gewoon,just
gewoonlijk,usually
de gewoonte,habit
het gezag,authority
gezellig,cozy
het gezicht,face
het gezin,family
gezond,healthy
"gezond, ziek","healthy, sick"
de gezondheid,health
het glas,glass
de glimlach,smile
de godsdienst,religion
goed,good
"goed, slecht","good, bad"
de goederen,goods
