"to, attached to","к, прикреплённый к"
to offer,предлагать
attention,внимание
to arrive,прибыть
number of,количество
attractive,привлекательный
attack,атака
present,настоящее
soil,почва
absolutely,абсолютно
to accept,принимать
behind,за
background,фон
action,действие
active,активная
activity,деятельность
address,адрес
advice,совет
department,отдел
"to go down, descend","спускаться, спускаться"
to finish up,закончить
"to pay, settle the bill","заплатить, оплатить счет"
goodbye,До свидания
appointment,назначение
to make an appointment,записаться на прием
distance,расстояние
to graduate,закончить школу
to do the dishes,мыть посуду
agent,агент
already,уже
general,общее
all,все
both,оба
only,только
all of them,все они
all,все
everything,все
"if, when","если, когда"
as if,как будто
always,всегда
civil servant,государственный служащий
other,другие
different,разные
fear,страх
answer,ответ
to answer,отвечать
labor,труд
worker,рабочий
argument,аргумент
arm,рука
article,статья
aspect,аспект
author,автор
automatically,автоматически
boss,босс
baby,ребенок
afraid,боится
bank,банк
base,база
bed,кровать
company,компания
statue,статуя
leg,нога
get started,начать
"to start, begin","начинать, приступать"
understanding,понимание
except,кроме
therapy,терапия
need,нужно
both,оба
interest,проценты
policy,политика
to call,звонить
down,вниз
determined,определено
prepared,подготовлено
profession,профессия
protection,защита
decision,решение
decision,решение
to decide,решать
to discuss,обсудить
board,доска
to pay,платить
to mean,означать
meaning,значение
better,лучше
turn,повернуть
to contain,содержать
to move,двигаться
movement,движение
proof,доказательство
conscious,сознание
busy,занят
possession,владение
visit,посетите
to influence,влиять
beer,пиво
at,на
contribution,вклад
almost (nearly),почти (почти)
to bite,кусаться
for example,например
special,специальный
"within, inside","внутри, внутри"
to enter,войти
bitter,горький
sheet,лист
blue,голубой
happy,счастливый
apparently,"очевидно,"
to stay,оставаться
look,смотреть
blood,кровь
flower,цветок
"bottom, ground","дно, земля"
book,книга
farmer,фермер
message,сообщение
bow,бант
tree,дерево
angry,сердитый
boat,лодка
plate,тарелка
chest,грудь
forest,лес
upstairs,наверху
moreover,более того
fire,пожар
wide,широкий
to bring,приносить
letter,письмо
pants,брюки
brother,брат
source,источник
bread,хлеб
bridge,мост
brown,коричневый
stomach,желудок
outside,за пределами
foreign,иностранный
desk,стол
mayor,мэр
civil,гражданская
bus,автобус
neighborhood,район
cafe,кафе
category,категория
centre,центр
colleague,коллега
combination,комбинация
communication,общение
computer,компьютер
conclusion,заключение
consequence,следствие
contact,связаться с
crisis,кризис
cultural,культура
culture,культура
there,там
after that,после этого
therefore,поэтому
day,день
daily,ежедневно
roof,крыша
then,затем
to thank,благодарить
to dance,танцевать
